,Month,In store advertising ($),billboard Advertising ($),Print Advertising ($),Satisfaction,Competitor Adversiting ($),Price ($),Sales ($),Store_Billboard,Store_Print,Billboard_Print,Total_Advertising_Cost,Net_Profit,ROI
68,69,2332,972,665,60,664,99,19452.9767891832,2266704,1550780,646380,3969,15483.976789183202,390.12287198748305
69,70,2084,1062,500,72,920,99,19646.2436297227,2213208,1042000,531000,3646,16000.2436297227,438.84376384318983
70,71,2001,670,524,68,1011,97,14304.7848133885,1340670,1048524,351080,3195,11109.7848133885,347.724094315759
71,72,1886,892,947,61,682,90,15488.6325801855,1682312,1786042,844724,3725,11763.6325801855,315.8022169177316
72,73,1908,573,983,72,695,104,12228.5184265846,1093284,1875564,563259,3464,8764.5184265846,253.01727559424364
73,74,2162,789,854,66,941,96,15325.5088709084,1705818,1846348,673806,3805,11520.5088709084,302.77290068090406
74,75,2517,1287,609,73,780,92,28211.4126512756,3239379,1532853,783783,4413,23798.4126512756,539.2796884494811
75,76,1961,1063,874,71,646,96,19426.1493873416,2084543,1713914,929062,3898,15528.1493873416,398.3619647855721
76,77,1652,1021,498,73,1058,100,16929.4375431535,1686692,822696,508458,3171,13758.4375431535,433.88324008683384
77,78,1819,766,361,60,528,99,13339.8024931438,1393354,656659,276526,2946,10393.8024931438,352.81067525946366
78,79,2064,860,674,64,731,99,16071.708950528,1775040,1391136,579640,3598,12473.708950528,346.68451780233465
79,80,1920,745,696,74,847,103,12968.20061651,1430400,1336320,518520,3361,9607.20061651,285.8435173016959
80,81,1955,1013,562,68,386,96,19459.1473773831,1980415,1098710,569306,3530,15929.147377383099,451.25063392020104
81,82,1957,1191,298,79,946,99,20207.8320865062,2330787,583186,354918,3446,16761.8320865062,486.4141638568253
82,83,1656,1074,693,69,931,93,17022.7479332416,1778544,1147608,744282,3423,13599.7479332416,397.30493523931057
83,84,1956,845,933,59,901,101,15537.5718489413,1652820,1824948,788385,3734,11803.5718489413,316.1106547654339
84,85,2212,1138,996,73,633,106,22149.8913311088,2517256,2203152,1133448,4346,17803.8913311088,409.6615584700598
85,86,2174,1096,1198,66,1024,105,21187.1139165412,2382704,2604452,1313008,4468,16719.1139165412,374.19681997630255
86,87,2137,1210,810,78,913,104,21232.9211325881,2585770,1730970,980100,4157,17075.9211325881,410.7751054267044
87,88,1899,889,1369,79,921,104,16949.6325564642,1688211,2599731,1217041,4157,12792.6325564642,307.7371315002213
88,89,1952,705,913,76,1118,104,12698.6068612467,1376160,1782176,643665,3570,9128.6068612467,255.7032734242773
89,90,1701,978,760,71,765,106,13040.2363223832,1663578,1292760,743280,3439,9601.2363223832,279.18686601870314
90,91,1986,1075,317,66,1146,94,18442.3920381523,2134950,629562,340775,3378,15064.392038152298,445.9559513958644
91,92,2063,1389,1407,70,741,115,19817.8572083088,2865507,2902641,1954323,4859,14958.8572083088,307.858761232945
92,93,2426,982,1152,67,984,101,20994.0596653964,2382332,2794752,1131264,4560,16434.0596653964,360.3960452937807
93,94,2250,1106,958,66,893,113,17977.5069648929,2488500,2155500,1059548,4314,13663.506964892898,316.7247789729462
94,95,1876,979,1079,63,782,110,14532.655118132,1836604,2024204,1056341,3934,10598.655118132,269.41167051682766
95,96,2088,1539,1061,70,708,105,23272.5666967337,3213432,2215368,1632879,4688,18584.5666967337,396.4284704934663
96,97,1716,1334,1014,74,750,96,22316.4134754296,2289144,1740024,1352676,4064,18252.4134754296,449.12434732848425
97,98,2219,941,1035,71,600,102,17817.9951777252,2088079,2296665,973935,4195,13622.995177725199,324.74362759774016
98,99,2243,968,1065,66,852,99,16412.4761898028,2171224,2388795,1030920,4276,12136.476189802801,283.82778741353604
99,100,2530,994,627,71,886,99,23506.1430827521,2514820,1586310,623238,4151,19355.1430827521,466.2766341303806
100,101,2103,1028,732,73,1206,114,13809.666937752,2161884,1539396,752496,3863,9946.666937752,257.48555365653635
101,102,1881,858,829,71,648,101,16402.1552780231,1613898,1559349,711282,3568,12834.1552780231,359.70166137957114
102,103,2016,1020,586,74,789,100,17054.672750779,2056320,1181376,597720,3622,13432.672750778998,370.86341112034785
103,104,1874,826,1343,62,611,100,15465.6702969576,1547924,2516782,1109318,4043,11422.6702969576,282.52956460444227
104,105,1793,725,468,69,656,90,14872.9625171704,1299925,839124,339300,2986,11886.9625171704,398.0898364759009
105,106,2041,1201,835,66,645,95,19259.8634765023,2451241,1704235,1002835,4077,15182.863476502302,372.40283238906795
106,107,1775,1164,601,72,741,92,20119.7958984531,2066100,1066775,699564,3540,16579.7958984531,468.35581634048305
107,108,2042,857,822,77,1234,103,16150.4296738741,1749994,1678524,704454,3721,12429.4296738741,334.0346593355039
108,109,2088,1318,842,72,1003,100,21574.1902807248,2751984,1758096,1109756,4248,17326.1902807248,407.8670028419209
109,110,1986,951,787,73,960,94,18094.4063525325,1888686,1562982,748437,3724,14370.4063525325,385.8863145148362
110,111,1951,929,26,67,638,107,14880.6048497406,1812479,50726,24154,2906,11974.6048497406,412.06486062424636
111,112,1837,761,175,73,1176,104,14065.6341181734,1397957,321475,133175,2773,11292.6341181734,407.2352729236711
112,113,1722,993,980,68,1201,102,13406.3140837677,1709946,1687560,973140,3695,9711.3140837677,262.82311458099326
113,114,2212,965,576,67,631,103,16329.4751929719,2134580,1274112,555840,3753,12576.4751929719,335.1045881420704
114,115,2005,1016,824,70,841,94,20654.8348801208,2037080,1652120,837184,3845,16809.8348801208,437.1868629420234
115,116,2207,1111,1000,67,850,98,18739.8516173276,2451977,2207000,1111000,4318,14421.8516173276,333.99378456062067
116,117,1688,1226,757,80,377,102,21585.9577163761,2069488,1277816,928082,3671,17914.9577163761,488.0130132491446
117,118,2042,1081,621,72,974,94,19711.596379626,2207402,1268082,671301,3744,15967.596379626,426.48494603701926
118,119,2168,1248,743,66,631,113,18732.9304943006,2705664,1610824,927264,4159,14573.9304943006,350.4191030127579
119,120,1993,1266,1202,68,963,106,18437.1396615002,2523138,2395586,1521732,4461,13976.139661500201,313.29611435777184
120,121,1952,267,1190,77,898,105,10309.7478615644,521184,2322880,317730,3409,6900.7478615643995,202.42733533483133
121,122,1804,909,1286,64,883,100,14242.3427772516,1639836,2319944,1168974,3999,10243.3427772516,256.14760633287324
122,123,2514,1142,1175,63,930,92,22035.1163876727,2870988,2953950,1341850,4831,17204.1163876727,356.11915519918654
123,124,2187,720,401,71,957,105,14971.0409330991,1574640,876987,288720,3308,11663.0409330991,352.570765813153
124,125,2456,759,336,75,872,107,16792.9252889797,1864104,825216,255024,3551,13241.925288979699,372.9069357640017
125,126,2020,1068,816,60,625,101,17080.8577870072,2157360,1648320,871488,3904,13176.8577870072,337.5219720032582
126,127,1842,889,755,70,625,97,15692.6234105091,1637538,1390710,671195,3486,12206.6234105091,350.1613141282014
127,128,1621,567,430,81,624,102,13251.1416368165,919107,697030,243810,2618,10633.1416368165,406.15514273554237
128,129,1840,1226,301,71,746,102,20742.8210727305,2255840,553840,369026,3367,17375.8210727305,516.0624019224979
129,130,2056,789,1111,74,840,96,16851.4385801392,1622184,2284216,876579,3956,12895.438580139202,325.97165268299295
130,131,2253,1096,1217,70,692,96,20792.9549431954,2469288,2741901,1333832,4566,16226.9549431954,355.38666104238723
131,132,2063,1103,865,66,969,101,18205.3683713708,2275489,1784495,954095,4031,14174.368371370801,351.6340454321707
132,133,1707,1380,842,64,765,104,17069.0523622396,2355660,1437294,1161960,3929,13140.0523622396,334.43757603053194
133,134,2167,1049,769,66,428,111,15890.374888984,2273183,1666423,806681,3985,11905.374888984,298.75470235844415
134,135,1587,1166,676,63,1178,94,14895.2049381641,1850442,1072812,788216,3429,11466.2049381641,334.38917871578013
135,136,1908,1285,452,69,1068,97,21524.3919959456,2451780,862416,580820,3645,17879.3919959456,490.51829892854875
136,137,1920,898,748,65,1163,106,14656.3133295061,1724160,1436160,671704,3566,11090.3133295061,311.0014954993298
137,138,1512,586,537,71,995,100,10905.9941951431,886032,811944,314682,2635,8270.9941951431,313.88972277582917
138,139,2230,1035,847,66,444,103,18037.3717442253,2308050,1888810,876645,4112,13925.3717442253,338.65203658135454
139,140,1844,1331,976,66,789,95,21182.4446583145,2454364,1799744,1299056,4151,17031.4446583145,410.29738998589494
140,141,1916,648,727,74,910,98,14598.137379077,1241568,1392932,471096,3291,11307.137379077,343.57755633780005
141,142,2348,1253,1170,73,887,101,23311.1099063896,2942044,2747160,1466010,4771,18540.1099063896,388.600081877795
142,143,2159,984,1218,81,946,95,22406.6256863778,2124456,2629662,1198512,4361,18045.6256863778,413.7955901485393
143,144,1972,1024,1109,70,910,106,17119.2402193063,2019328,2186948,1135616,4105,13014.240219306299,317.03386648736415
144,145,2128,912,447,60,429,93,17450.6807099784,1940736,951216,407664,3487,13963.680709978398,400.4496905643361
145,146,2099,1259,414,65,788,104,20189.3969315834,2642641,868986,521226,3772,16417.3969315834,435.24382109181863
146,147,2415,1356,819,73,736,100,25750.0553813582,3274740,1977885,1110564,4590,21160.0553813582,461.0033852147756
147,148,2068,1392,839,69,819,93,23180.3431949091,2878656,1735052,1167888,4299,18881.3431949091,439.203144799002
148,149,2126,758,968,74,505,108,16952.7842167709,1611508,2057968,733744,3852,13100.784216770899,340.10343241876683
149,150,2086,1189,432,74,762,100,19286.4113679698,2480254,901152,513648,3707,15579.411367969798,420.270066575932
150,151,1905,905,731,80,927,98,18291.1035253044,1724025,1392555,661555,3541,14750.1035253044,416.5519210760915
151,152,2024,754,887,71,666,102,14526.7798997869,1526096,1795288,668798,3665,10861.7798997869,296.365072299779
152,153,2409,1097,383,69,675,99,21385.9017061959,2642673,922647,420151,3889,17496.9017061959,449.9074750886063
153,154,1781,995,846,67,881,98,15805.7730957072,1772095,1506726,841770,3622,12183.7730957072,336.3824708919713
154,155,2030,1197,1275,70,991,96,19600.8697170753,2429910,2588250,1526175,4502,15098.8697170753,335.3813797662217
155,156,2340,1448,420,72,609,102,26453.9493530366,3388320,982800,608160,4208,22245.9493530366,528.6584922299572
156,157,1941,1259,1132,77,1035,94,21399.8263966448,2443719,2197212,1425188,4332,17067.8263966448,393.99414581359184
157,158,1736,826,1062,72,796,100,15865.1483228549,1433936,1843632,877212,3624,12241.1483228549,337.7800309838549
158,159,1782,1034,1063,63,1138,99,14336.6599688531,1842588,1894266,1099142,3879,10457.6599688531,269.59680249685744
159,160,1902,1353,1157,64,1241,98,20451.0557518663,2573406,2200614,1565421,4412,16039.0557518663,363.53254197339754
160,161,1788,1293,805,62,1036,103,16853.6963507696,2311884,1439340,1040865,3886,12967.696350769598,333.702942634318
161,162,1934,603,850,75,836,102,10886.1794176789,1166202,1643900,512550,3387,7499.179417678901,221.41067073158845
162,163,1896,1236,552,62,877,98,19544.4713458437,2343456,1046592,682272,3684,15860.4713458437,430.52310927914493
163,164,1954,914,929,67,573,102,17256.1296094217,1785956,1815266,849106,3797,13459.1296094217,354.4674640353358
164,165,2101,843,1118,63,1043,91,16251.4746070106,1771143,2348918,942474,4062,12189.4746070106,300.085539315869
165,166,2156,724,848,76,1155,95,18496.2615187552,1560944,1828288,613952,3728,14768.2615187552,396.1443540438627
166,167,2419,922,1093,77,753,100,21648.522429187,2230318,2643967,1007746,4434,17214.522429187,388.2391165806721
167,168,1982,1172,1110,73,831,107,19386.9799010927,2322904,2200020,1300920,4264,15122.979901092702,354.6665079993598
168,169,1919,1358,477,65,707,94,19508.7989320144,2606002,915363,647766,3754,15754.7989320144,419.68031252036224
169,170,2367,1034,884,68,627,91,20758.597555179,2447478,2092428,914056,4285,16473.597555179,384.44801762378063
170,171,2426,981,681,71,1055,100,18865.7423403193,2379906,1652106,668061,4088,14777.742340319299,361.49076174949363
171,172,2010,949,758,70,519,100,18473.8277996353,1907490,1523580,719342,3717,14756.827799635299,397.009087964361
172,173,1916,1238,758,64,1023,92,20114.2953450864,2372008,1452328,938404,3912,16202.2953450864,414.16910391325155
173,174,1544,729,519,68,539,100,13870.9211518737,1125576,801336,378351,2792,11078.9211518737,396.8094968436139
174,175,2352,1062,1035,76,754,98,21307.8132900878,2497824,2434320,1099170,4449,16858.8132900878,378.93489076394246
175,176,1790,1255,571,64,715,100,16548.6813009672,2246450,1022090,716605,3616,12932.6813009672,357.6515846506416
176,177,1719,1265,921,73,669,94,20777.0900500868,2174535,1583199,1165065,3905,16872.0900500868,432.063765687242
177,178,2760,1104,351,68,849,97,23372.2761838325,3047040,968760,387504,4215,19157.2761838325,454.5024005654211
178,179,2058,709,707,71,749,96,15685.7377810154,1459122,1455006,501263,3474,12211.7377810154,351.5180708409729
179,180,1991,794,747,72,991,105,14361.1854834923,1580854,1487277,593118,3532,10829.1854834923,306.602080506577
180,181,1316,819,634,70,975,97,12855.6068448763,1077804,834344,519246,2769,10086.6068448763,364.2689362541098
181,182,1975,639,755,77,1144,98,14171.3001587697,1262025,1491125,482445,3369,10802.3001587697,320.6381762769279
182,183,2244,1010,1058,62,1034,90,19782.174489695,2266440,2374152,1068580,4312,15470.174489695,358.7702803732607
183,184,2103,1305,946,71,747,100,22873.1569733286,2744415,1989438,1234530,4354,18519.1569733286,425.33663236859445
184,185,2228,388,601,73,1186,96,13189.5168578422,864464,1339028,233188,3217,9972.5168578422,309.9943070513584
185,186,2495,1189,746,69,485,104,24411.2484952748,2966555,1861270,886994,4430,19981.2484952748,451.0439840919819
186,187,2292,949,775,66,972,104,17244.0115657988,2175108,1776300,735475,4016,13228.011565798799,329.38275811251987
187,188,1872,807,705,79,734,98,16788.8984480975,1510704,1319760,568935,3384,13404.898448097501,396.12584066481975
188,189,2176,1192,767,74,509,92,24038.940428639,2593792,1668992,914264,4135,19903.940428639,481.35285196224913
189,190,1950,1162,726,75,1002,98,19191.9114306044,2265900,1415700,843612,3838,15353.9114306044,400.0498027776029
190,191,1865,1024,1334,64,916,99,16261.1418220653,1909760,2487910,1366016,4223,12038.1418220653,285.061373953713
191,192,1286,770,872,67,803,95,13076.5461911715,990220,1121392,671440,2928,10148.5461911715,346.60335352361676
192,193,1802,823,936,60,820,96,14864.9346913698,1483046,1686672,770328,3561,11303.9346913698,317.43708765430495
193,194,2121,595,655,71,733,102,12642.7781279179,1261995,1389255,389725,3371,9271.7781279179,275.0453315905636
194,195,2542,1470,860,61,739,107,23786.5845042683,3736740,2186120,1264200,4872,18914.5845042683,388.2303880186432
195,196,2125,961,871,60,760,93,17138.2622491021,2042125,1850875,837031,3957,13181.2622491021,333.1125157721026
196,197,2155,811,898,72,585,97,17905.8157754239,1747705,1935190,728278,3864,14041.8157754239,363.4010293846765
197,198,1758,459,845,62,841,88,11828.5606554309,806922,1485510,387855,3062,8766.5606554309,286.30178495855324
198,199,2040,892,1295,67,707,103,13871.2566558687,1819680,2641800,1155140,4227,9644.2566558687,228.15842573618878
199,200,1480,862,308,71,940,103,12038.8578493721,1275760,455840,265496,2650,9388.8578493721,354.2965226178151
200,201,2121,649,936,69,647,104,14453.0625871863,1376529,1985256,607464,3706,10747.0625871863,289.9908954988208
201,202,2174,1595,932,73,623,100,27587.2957134861,3467530,2026168,1486540,4701,22886.2957134861,486.83887924880025
202,203,2046,1218,621,65,987,97,21375.4420588679,2492028,1270566,756378,3885,17490.4420588679,450.20442879968846
203,204,2175,616,814,67,335,89,16971.6566156493,1339800,1770450,501424,3605,13366.656615649299,370.78104342993896
204,205,2077,1283,572,63,748,103,18613.2512273514,2664791,1188044,733876,3932,14681.2512273514,373.37871890517295
205,206,2190,1261,613,62,945,106,19146.0958740321,2761590,1342470,772993,4064,15082.0958740321,371.11456382953
206,207,2460,1147,247,69,564,103,22428.2212447136,2821620,607620,283309,3854,18574.2212447136,481.9465813366269
207,208,2278,1099,1117,67,805,96,21505.8364739403,2503522,2544526,1227583,4494,17011.8364739403,378.54553791589456
208,209,2008,1036,663,73,895,96,20302.2729290508,2080288,1331304,686868,3707,16595.2729290508,447.6739392784138
209,210,1721,1154,951,64,481,99,17173.1665262611,1986034,1636671,1097454,3826,13347.166526261099,348.85432635287765
210,211,2104,741,731,67,522,99,13531.3227694613,1559064,1538024,541671,3576,9955.3227694613,278.39269489545023
211,212,1899,837,1305,81,378,102,18601.2565564784,1589463,2478195,1092285,4041,14560.256556478402,360.3132035753131
212,213,2373,749,860,71,820,106,17244.3912319354,1777377,2040780,644140,3982,13262.391231935399,333.0585442474987
213,214,1598,958,1354,72,712,105,15201.1182276217,1530884,2163692,1297132,3910,11291.1182276217,288.7754022409642
214,215,1896,1036,841,64,957,101,14625.8208888817,1964256,1594536,871276,3773,10852.8208888817,287.64433842782137
215,216,2105,1150,1162,79,378,94,23030.2545824084,2420750,2446010,1336300,4417,18613.2545824084,421.4003754224224
216,217,1962,1132,830,75,900,95,20695.4505715889,2220984,1628460,939560,3924,16771.4505715889,427.4069972372298
217,218,1848,1361,887,77,800,94,21672.6016132372,2515128,1639176,1207207,4096,17576.6016132372,429.1162503231738
218,219,1923,1149,739,73,853,105,16754.5433831003,2209527,1421097,849111,3811,12943.5433831003,339.63640469956175
219,220,2157,1314,825,69,1059,91,25214.0731179,2834298,1779525,1084050,4296,20918.0731179,486.9197653142458
220,221,2223,1274,979,67,938,95,22065.397048276,2832102,2176317,1247246,4476,17589.397048276,392.9713370928508
221,222,2165,852,922,65,917,100,16487.4504342922,1844580,1996130,785544,3939,12548.450434292201,318.56944489190664
222,223,2568,1187,389,71,808,104,24169.8679789714,3048216,998952,461743,4144,20025.8679789714,483.24970991726354
223,224,2293,1113,1104,66,1040,101,19567.2294921703,2552109,2531472,1228752,4510,15057.2294921703,333.8631816445743
224,225,2071,1029,614,71,891,103,17918.180894526,2131059,1271594,631806,3714,14204.180894526002,382.4496740583199
225,226,1835,774,1035,70,796,98,12272.367607412,1420290,1899225,801090,3644,8628.367607412,236.78286518693744
226,227,2729,1146,769,72,931,96,26133.6939945534,3127434,2098601,881274,4644,21489.6939945534,462.74104208771314
227,228,2169,1015,817,68,599,91,21873.9457854381,2201535,1772073,829255,4001,17872.9457854381,446.71196664429146
228,229,1828,911,930,71,971,99,15576.3686165661,1665308,1700040,847230,3669,11907.3686165661,324.53989142998364
229,230,2046,1230,575,65,683,106,18668.7512967259,2516580,1176450,707250,3851,14817.751296725899,384.7767150539055
230,231,1918,1248,783,65,761,100,17768.7500565703,2393664,1501794,977184,3949,13819.750056570301,349.9556864160623
231,232,1931,1218,625,68,768,107,18778.7796340493,2351958,1206875,761250,3774,15004.7796340493,397.5829261804266
232,233,1766,347,970,65,754,102,9015.42874513488,612802,1713020,336590,3083,5932.428745134879,192.42389702026856
233,234,2029,775,883,71,312,101,15057.5990601171,1572475,1791607,684325,3687,11370.5990601171,308.3970452974532
234,235,2079,1234,444,77,734,95,23440.3731519246,2565486,923076,547896,3757,19683.3731519246,523.9119816855097
235,236,1730,813,721,69,710,100,13453.9383450775,1406490,1247330,586173,3264,10189.9383450775,312.19173851340383
236,237,1191,1102,650,72,773,95,15257.7384809233,1312482,774150,716300,2943,12314.7384809233,418.4416745131941
237,238,1936,1045,634,65,926,105,14642.7880696306,2023120,1227424,662530,3615,11027.7880696306,305.0563781363928
238,239,2007,1276,801,73,750,94,22506.2212632824,2560932,1607607,1022076,4084,18422.2212632824,451.0827929305191
239,240,2148,822,345,69,437,96,18258.6815174318,1765656,741060,283590,3315,14943.6815174318,450.7897893644585
240,241,2014,985,1281,58,734,106,14710.7906895404,1983790,2579934,1261785,4280,10430.7906895404,243.71006283972895
241,242,2103,1086,919,72,369,96,20400.8024462511,2283858,1932657,998034,4108,16292.802446251098,396.6115493245155
242,243,1725,1318,316,73,728,105,19987.4037014377,2273550,545100,416488,3359,16628.4037014377,495.04030072752903
243,244,2177,955,571,72,324,99,20818.0975478603,2079035,1243067,545305,3703,17115.0975478603,462.19545092790435
244,245,2179,1072,892,69,899,98,21547.6328448668,2335888,1943668,956224,4143,17404.6328448668,420.09734117467536
245,246,2062,664,226,72,894,98,13635.2112996119,1369168,466012,150064,2952,10683.2112996119,361.89740174837056
246,247,2339,1158,679,69,773,104,20764.4509130553,2708562,1588181,786282,4176,16588.4509130553,397.23301994864227
